time,UPSTREAM,DOWNSTREAM,GAGE-1
30.00000000000,-1205.908137268189,-801.0110314492190,2506.919168717405
60.00000000000,-876.0125854568099,-522.8767244781378,1898.889309934949
90.00000000000,-1361.755049331095,-942.4968700856826,2804.251919416778
120.0000000000,-2015.026856016367,-1484.649032755353,3999.675888771719
150.0000000000,-2511.916133267268,-1887.320433566661,4899.236566833928
180.0000000000,-2672.222630743854,-2007.207469108633,5179.430099852480
210.0000000000,-2442.749437569785,-1804.374159497135,4747.123597066921
240.0000000000,-1908.576730681310,-1344.780881361398,3753.357612042709
270.0000000000,-1216.185214139407,-769.8159359172881,2486.001150056695
300.0000000000,-526.5523881805697,-232.7790868845750,1259.331475065146
330.0000000000,.5230474718185930,117.8642798839917,381.6126726441892
360.0000000000,230.3464187059392,218.7341963486404,50.91938494542058
390.0000000000,87.15180031634982,137.1108651743253,275.7373345093254
420.0000000000,-397.6230880852750,-203.0065623051645,1100.629650390442
450.0000000000,-1103.706480451202,-758.9642934152129,2362.670773866417
480.0000000000,-1854.269393248702,-1362.617122048982,3716.886515297685
510.0000000000,-2435.054340071255,-1829.624110190658,4764.678450261918
540.0000000000,-2668.105345035614,-2006.661160532688,5174.766505568306
570.0000000000,-2498.467451474737,-1853.081214200354,4851.548665675091
600.0000000000,-2001.932124646931,-1424.585943530087,3926.518068177012
630.0000000000,-1324.288965865522,-857.6248640440537,2681.913829909576
660.0000000000,-622.8739546811022,-304.4156603380619,1427.289615019165
690.0000000000,-62.51331759183756,81.23626566384056,481.2770519279973
720.0000000000,218.9278537130685,217.0281118626495,64.04403442428224
750.0000000000,132.3161754998978,163.8241079709985,203.8597165291035
