time,TWGW_2_310,TWGW_2_202,TWGW_2_1042,TWGW_2_1590,TWGW_2_1960,TWGW_2_2728,TWGW_2_2957,TWGW_2_3076,TWGW_2_3385,TWGW_2_4015,TWGW_2_4369,TWGW_2_4518,TWGW_0_310,TWGW_0_202,TWGW_0_1042,TWGW_0_1590,TWGW_0_1960,TWGW_0_2728,TWGW_0_2957,TWGW_0_3076,TWGW_0_3385,TWGW_0_4015,TWGW_0_4369,TWGW_0_4518
330.0000000000,34.16346145,34.28364498,34.40034957,33.98857347,33.96489747,33.84593213,33.85272782,33.87347056,33.77045721,33.75576132,33.66916630,33.61884657,34.16368171,34.28394640,34.40077749,33.98880569,33.96510267,33.84617442,33.85292184,33.87379883,33.77075337,33.75595502,33.66940578,33.61905203
360.0000000000,34.01357103,34.04262103,34.03405302,33.82814948,33.83235390,33.68067061,33.71391496,33.63300885,33.56439255,33.63282850,33.53811123,33.51908848,34.01368248,34.04277259,34.03427066,33.82826641,33.83245877,33.68079362,33.71402036,33.63317300,33.56454062,33.63292871,33.53823193,33.51919392
390.0000000000,34.10221930,34.15607551,34.16891540,33.93394807,33.92558744,33.79223427,33.81444375,33.76268258,33.68751737,33.72788524,33.62899199,33.59446273,34.10242941,34.15629569,34.16915452,33.93415735,33.92579441,33.79244918,33.81464611,33.76291530,33.68774709,33.72808921,33.62923211,33.59469874
420.0000000000,34.40382368,34.59346074,34.77034498,34.26891834,34.20710308,34.13614212,34.10677915,34.22061437,34.09724345,33.99030833,33.90822872,33.81173142,34.40431966,34.59395559,34.77083735,34.26941530,34.20760231,34.13665341,34.10726914,34.22114271,34.09777686,33.99080820,33.90880682,33.81230801
450.0000000000,34.83348993,35.23367937,35.67281301,34.73349116,34.59026074,34.60744278,34.49869144,34.87476434,34.67359506,34.33486503,34.29322115,34.10409691,34.83438447,35.23458423,35.67372489,34.73439533,34.59117363,34.60837651,34.49970947,34.87573832,34.67457427,34.33579621,34.29426735,34.10513423
480.0000000000,35.28792974,35.91420739,36.63990288,35.21121404,34.98098606,35.08470696,34.89023560,35.55269673,35.26507846,34.67280404,34.68307437,34.39577124,35.28933230,35.91554580,36.64128525,35.21253221,34.98242661,35.08607280,34.89166521,35.55414510,35.26652381,34.67422401,34.68459302,34.39726550
510.0000000000,35.63998005,36.45163166,37.41681583,35.57440230,35.27487875,35.44455800,35.18079394,36.07920210,35.71951027,34.92101006,34.97837804,34.61364148,35.64170545,36.45331811,37.41859840,35.57603640,35.27659813,35.44625318,35.18249920,36.08102930,35.72132006,34.92270430,34.98024945,34.61546884
540.0000000000,35.78623546,36.69755770,37.79633940,35.71900629,35.38168555,35.58897048,35.28792328,36.31558259,35.91703490,35.01351906,35.10188549,34.70121318,35.78803107,36.69941678,37.79835015,35.72077838,35.38347477,35.59080828,35.28969732,36.31759570,35.91901407,35.01528154,35.10389792,34.70316247
570.0000000000,35.68803440,36.58900198,37.68230090,35.61394858,35.28560597,35.48814390,35.19487721,36.20556755,35.81179104,34.93402034,35.02516475,34.63928775,35.68967343,36.59081162,37.68430887,35.61564138,35.28723928,35.48989786,35.19649645,36.20752441,35.81369968,34.93562844,35.02706924,34.64111565
600.0000000000,35.39391996,36.16904382,37.11331483,35.30035777,35.02453206,35.17598904,34.93410159,35.78232946,35.43560704,34.70806503,34.77064597,34.44606563,35.39521607,36.17058856,37.11508570,35.30177079,35.02582369,35.17745307,34.93538213,35.78400112,35.43722234,34.70933556,34.77222094,34.44756001
630.0000000000,34.98520199,35.55306774,36.24266648,34.86563035,34.67452755,34.73718453,34.57816003,35.15847091,34.88853636,34.39545032,34.40553613,34.17208268,34.98605430,35.55420441,36.24402764,34.86663836,34.67538212,34.73822970,34.57900759,35.15970358,34.88971268,34.39628879,34.40664765,34.17312050
660.0000000000,34.55585959,34.89210909,35.28961365,34.40761200,34.30590233,34.27228540,34.20183837,34.48791247,34.30394639,34.06369482,34.01869554,33.88223357,34.55642294,34.89280563,35.29050175,34.40820124,34.30641505,34.27289741,34.20226740,34.48867006,34.30465567,34.06417962,34.01933298,33.88281327
690.0000000000,34.20383173,34.34646940,34.49286258,34.03184235,34.00054746,33.89005570,33.88935930,33.93663498,33.82518405,33.78806569,33.70475788,33.64584564,34.20408511,34.34681054,34.49333957,34.03210890,34.00078457,33.89033351,33.88956897,33.93700663,33.82552122,33.78829048,33.70503515,33.64608575
720.0000000000,34.02138452,34.05700774,34.05833899,33.83602359,33.83860698,33.68880285,33.72052706,33.64657367,33.57535117,33.63852292,33.54434448,33.52360503,34.02149921,34.05716819,34.05857405,33.83614473,33.83871409,33.68893039,33.72063487,33.64674786,33.57550697,33.63862446,33.54446777,33.52371061
750.0000000000,34.07382238,34.11639923,34.11638252,33.90143919,33.89762864,33.75839866,33.78481525,33.71992533,33.64849435,33.70068486,33.60169183,33.57259541,34.07400467,34.11659505,34.11660296,33.90162127,33.89780728,33.75858602,33.78499022,33.72013250,33.64869683,33.70086035,33.60189897,33.57279732
